POTIONEFFECT PotionEffectSkillData
OHKO OHKOData
REPULSION RepulsionData
CONVERTITEM ConvertItemData
CONVERTBLOCK ConvertBlockData
REMOTEDETONATION RemoteDetonationData
BLOCKDROPS BlockDropsData
CREEPER CreeperData
GIVEITEM GiveItemData
GUN GunData
SNEAK SneakData
SHIELD ShieldData
SPELL SpellData
THROWER ThrowerData
BLOCKRAY BlockRayData
POTIONGIFTER PotionGifterSkillData
CONSUME ConsumeSkillData
SUMMON SummonSkillData
DECOY DecoyData
PHASE PhaseData
STRONGMAN StrongmanData
CRAFTING CraftingData
SLAM SlamData
ERASER EraserData
TELEPORT TeleportData
INSTANTBREAK InstantBreakData
LIGHT LightSkillData
NOHUNGER NoHungerData
DAMAGERESISTANCE DamageResistanceData
SLIME SlimeData
SNEAKINGPOTION SneakingPotionData
AURA AuraData
EGGLAYER EggLayerData
WALKER WalkerData
PICKPOCKET PickpocketData
CONVERTDROPS ConvertDropsData
LIFESTEAL LifestealData
DAMAGEPOTION DamagePotionData
WEATHERDAMAGE WeatherDamageData
HEARTSTEAL HeartStealData
KILLPOTION KillPotionData
CLIMB ClimbData
